日期,时间,呼号,频率,模式,信号报告,功率,设备,天线,备注
2025/12/31,--:--,BG7MGR,狮山中继,FM,59,5W,BF UV5RH,老鹰771,新年快乐
2026/3/24,21:20,高州171,粤西模拟链路,FM,59,--,--,--,BG7LZQ参与粤西模拟链路业余无线电台网活动 第 25 位
2025/12/31,20:30,BG7JOS,粤西模拟链路,FM,59,5W,BF UV5RMINI,原装,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,BG7NMF,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,BI7KZM,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,高州828,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
2025/12/31,20:30,--,粤西模拟链路,FM,59,--,--,--,参与粤西模拟链路业余无线电跨年台网活动
